geneNames	GSM1337304	GSM1337305	GSM1337306	GSM1337307	GSM1337308	GSM1337309	GSM1337310	GSM1337311	GSM1337312	GSM1337313	GSM1337314	GSM1337315	GSM1337316	GSM1337317	GSM1337318	GSM1337319	GSM1337320	GSM1337321	GSM1337322	GSM1337323	GSM1337324	GSM1337325	GSM1337326
SLC20A1	3625.2	1458.9	665	3474.2	2193.8	659.7	1208.6	947.4	951.6	1497	889.7	1124.9	1936.9	929.3	830.2	2121.4	1546.6	1900.4	2447.6	1932.7	1734.8	1697.7	1851.2
SLC20A2	175	133.2	150.2	355.7	237.4	211.5	186.5	206.1	226.1	183.5	192.4	163	162.9	106.5	225.3	191.4	174.1	155.2	123	127.9	169.2	114.8	185.1
SLC22A1	19.5	13.5	35.1	5.7	53.5	37.6	4.2	3.1	15.8	4.1	14.7	8.6	19.4	17.3	24.9	7.6	4	5.9	17.4	8.2	14.8	4.7	5.2
SLC22A11	11.5	10	11.1	16.4	14.7	13.1	17.8	9.9	24.3	12.3	19.4	9.4	22.6	8.9	9.2	10	8.8	10.3	9.4	13.9	10.7	11.8	6.4
SLC22A13	8.8	16	12.9	13.6	11	14.4	8.7	12.2	10.8	12.2	8.8	7.7	7.2	6.4	8.3	6.5	7.5	7.9	8	10.4	7	10.6	18.3
SLC22A14	168.2	212.3	216.9	223	231.1	209.9	237.2	256.4	291.2	244.9	389.2	230.3	294.9	221.3	119	281.2	282.1	237.8	280.8	309.4	145.2	169.8	290.6
SLC22A17	131.95	122.95	142.2	97.4	79.8	130.85	212.4	189.25	195.85	82	115.65	128.4	144.15	115.7	138.1	81.9	145.7	89	114.95	127.65	132.5	83.1	102.35
SLC22A18	355.5	345.4	164.6	233.6	186.7	251.1	428.1	350.5	360.4	457.6	338.7	277.4	344.1	416.7	213.3	347.7	422.9	527	358.5	216	279.1	275.5	505.6
SLC22A18AS	133.1	116.4	63.3	163.5	117.8	123	155.6	151.8	136	175.1	176.6	63.1	160.2	130.3	128.5	114.6	113.4	93.8	85	102.7	154.2	141.3	138.1
SLC22A2	57.9	20.7	18.8	25.8	26.7	18.9	14.3	24.4	10.9	15.4	69.5	18.6	88.9	20.2	15.3	39.8	29	4	20.4	29.9	27.7	14.9	13.3
SLC22A3	57.6	2.4	93	0.7	31.3	1.5	6.2	2.5	32.8	15.2	5.8	6.8	29.8	26.6	85.2	13.5	49.4	65.1	67.5	58.3	1.8	27.8	0.7
SLC22A4	277.5	154.2	125.9	719	365.6	169.3	129.3	177.1	208.6	169	267.9	139.2	204.6	157	169.3	165.9	142.8	208.7	168.1	204.1	143.8	169.6	268.9
SLC22A5	341.5	353.3	394.1	218.8	456.6	274.8	256.5	304.9	258.5	348.1	300.4	342.3	303.8	198.9	270.3	202.2	190.6	247.4	315.9	316.9	274.7	287.4	300.2
SLC22A6	12.75	15.9	14.6	17.55	17.25	18.2	6.35	19.25	50.35	52.75	10.4	15.4	13.85	17.95	6.9	9.55	11.55	7.55	10.2	29.35	11.05	12	14.85
SLC22A7	31.5666666666667	56.9666666666667	22.3	54.1666666666667	62.9	46.6333333333333	55.4333333333333	42.7	39.3333333333333	17.9666666666667	15.2666666666667	35.9333333333333	19.7	22.8333333333333	10.5	26.2666666666667	31.4666666666667	8.06666666666667	41.7333333333333	40.7333333333333	16.0333333333333	30.6666666666667	59.1666666666667
SLC22A8	18	12.3	9.4	20.5	24.4	12.1	11.2	9.5	20.1	12.9	14	9.9	12.9	6.8	13.7	9.1	28	6.7	4.2	12	9.6	7.2	25.6
SLC23A2	381.433333333333	345.033333333333	169.466666666667	307	234.933333333333	125.066666666667	262.166666666667	358.3	417.2	405.7	178.633333333333	150.666666666667	220.933333333333	173.3	216.133333333333	118.433333333333	184.8	202.633333333333	265.933333333333	209.033333333333	162.6	183.433333333333	313.3
SLC24A1	108.375	68.125	81.6	55.05	49.4	63.35	73.45	62.275	82.15	108.55	44.85	51.225	73.925	62.4	76.65	67.3	43.55	66.3	92.775	58.6	83.8	39.25	80.375
SLC24A2	134.7	125.5	141.9	154.6	144.6	99.1	79.6	102.7	98.4	78.3	135.6	134.4	106.2	45.2	67.8	77.4	72.2	73.1	79.1	77.1	88.5	73.3	125.9
SLC24A3	143.8	141.4	124.3	78.9	273.55	150.5	157.85	127.7	189.05	139.6	310.6	272.15	269.45	667.95	311.5	327	338.05	279.2	202.7	251	249.85	273.65	204.4
SLC25A1	492.7	760.4	903	532.7	690.9	1312.2	830.8	560.8	536.7	784.1	704.8	413.8	532.3	418.1	652	541.8	580.2	568.9	425.4	755	459.3	559.5	389.7
SLC25A10	85.2	23.4	151.3	8.2	77.5	127.7	76	86.6	103.3	126.5	62.9	59.8	103	33.5	42.4	17.7	56.7	17.3	27.2	53.2	45.9	76.7	137.6
SLC25A11	548.8	533.15	549.9	438.45	529.15	749.6	656.45	634.2	616.1	577.95	644.75	506.9	541.15	608.2	593.65	661.4	766.1	798.05	647.75	676.85	483.35	641.7	713.7
SLC25A12	295.5	388.25	223.05	186.4	184.3	466.95	356.1	348.65	403.25	450.4	435.45	479.45	365.05	402.55	431.95	337.85	380.9	372.3	394.4	309.85	471.4	340.65	299.8
SLC25A13	395	137.5	189.1	294.9	264.6	209.1	200.7	185.9	146.3	173.4	193.9	262.9	241.5	272.3	163.6	222.1	149.7	166.1	213.5	149.2	258.2	229.4	243.9
SLC25A14	215.15	136.4	176.75	158.5	159.85	137.75	124.3	249.25	217.4	210.55	117.45	146	145.15	197.9	178.65	170.2	206.7	144.95	214.6	172.1	241.55	201.65	165.45
SLC25A15	328.1	137.2	143.2	280.1	185.6	118.3	158	163.2	113.8	226.6	104.7	149.9	217.5	116.1	101.8	185.6	306.5	216.4	168.6	159.5	228.9	153.5	208.5
SLC25A16	585.033333333333	481.766666666667	463.866666666667	362.633333333333	369.133333333333	170.3	194.766666666667	414.266666666667	327.033333333333	417.933333333333	311.833333333333	242.666666666667	320.733333333333	228.433333333333	172.4	159.7	133.5	389.7	528.433333333333	398.833333333333	332.266666666667	390	393.133333333333
SLC25A17	243.9	200.2	196.35	410.75	324.25	226.75	181.3	218.8	175.3	210.45	107.05	197.25	217.25	157.05	165.65	148.2	181.75	145.3	179	135.4	235.95	185.65	231.3
SLC25A20	502.7	698.4	807	452.4	584.1	474.3	681.1	524.9	413.3	773.2	964.5	647.4	565.8	858.5	584.2	598.9	581.1	596	566.8	805.7	577.2	671	500.5
SLC25A21	31.6	9.7	24.5	27.2	25.9	28.7	20.9	12.9	19.5	12	12.5	26.8	34.8	22	12	26.9	25.4	21.1	5.8	25	36.7	31.1	13.7
SLC25A22	198.9	166.8	215.2	633.7	341.1	111.3	225.8	244.8	255.2	173.4	246.9	153.4	287.4	276.7	177.2	314.4	311.8	250.2	191.8	235.1	178.7	203.9	233.3
SLC25A23	135.6	75.7	85.2	28.5	68.5	143.4	85.4	73.3	159.5	71.9	90.7	131.5	53.3	75.7	72	45.6	133.9	71.6	24.9	133	72.4	91.3	47.6
SLC25A24	1004.4	1186	1247.1	912.4	912.5	801	669.4	545.9	785.1	722.4	486.2	1021.3	1341	1294.7	823	1114.4	568	943.2	1083.9	424.9	1562.8	1052.2	1205.4
SLC25A28	876.5	640.8	694	865.4	962	680.2	425.1	585.2	488.8	687.3	655.7	405.2	507.1	475.5	651.4	595.8	544.2	660.2	867.3	814.3	537.2	1071.8	555.3
SLC25A3	6738.1	7579.8	8139.8	7774.8	6280.7	9641.7	9299.2	8569.4	8769.3	9877.6	6720	5846.1	5607.6	5971.4	7354.2	6781.5	8309.7	8004.7	6313.7	7262.7	7002.9	7570.8	7874.3
SLC25A30	40	16.6	17.55	15	24.65	12.3	5.7	25.7	24.8	12.45	24.35	18.9	41.55	17.35	13.3	29.35	6.4	19.25	6.75	30.05	25.4	22.65	24.75
SLC25A31	6.8	9.4	7.7	0.8	10	5.4	4.1	5.9	3	6.9	11.8	20.1	14.5	4.3	16.1	19.1	15.2	11	4	8.3	23.3	12.5	11.1
SLC25A32	745.2	498.5	617.9	1454.6	1201.6	606.7	360.5	301.8	415.9	506.4	538.4	683	552.1	473.8	601.9	565.9	544.1	562.1	522.2	582.6	522.2	671	410.4
SLC25A36	1143.2	972.433333333333	1037.4	663.333333333333	856.166666666667	1388.33333333333	930.533333333333	1048.93333333333	1216.33333333333	902.933333333333	789.166666666667	946.533333333333	866.4	958.366666666667	975.1	753.3	575.866666666667	792.166666666667	1035.06666666667	769.866666666667	934.333333333333	856.866666666667	1190.96666666667
SLC25A37	281.066666666667	260.733333333333	267.333333333333	993.9	380.766666666667	108.2	85.1	200.866666666667	234.933333333333	282.4	110.033333333333	110.666666666667	107.066666666667	62.1	165.6	89.3666666666667	101.2	94.2333333333333	180.333333333333	127.866666666667	191.5	204.366666666667	197.766666666667
SLC25A38	520.5	488.9	541.9	648	530.2	671	413.7	394	370.1	281.4	481.5	417.9	535.2	330.6	445.5	383.5	536.7	192.9	330.1	291.4	368.3	278.7	303.4
SLC25A4	107.85	170.9	227.55	164.95	195.35	268.6	173.35	187.1	245.55	223.95	103.15	133.1	116.15	75.8	259	140.5	159.7	137.4	149.55	130.85	142.7	127.5	99.85
