geneNames	GSM302859	GSM302864	GSM302866	GSM302870	GSM302872	GSM302882	GSM302896	GSM302900	GSM302924	GSM302927	GSM302933	GSM302943	GSM303364	GSM303366	GSM303368	GSM303520	GSM303522	GSM303523	GSM303525	GSM303531	GSM303533
FLNB	836.925	742.819	537.883	1091.7585	534.749	1323.2365	642.319	769.1005	1027.129	425.565	652.742	569.158	710.362	760.472	344.3735	455.976	442.205	1189.5925	1405.5375	1683.272	1016.448
FLNC	292.313	211.001	216.114	298.722	419.793	522.389	168.072	153.949	539.549	296.836	73.8909	156.8	189.44	477.219	157.892	478.8	413.937	730.404	399.496	327.705	163.386
FLOT1	1671.08125	1726.996	1121.829875	1866.01175	2278.36645	2155.535225	2478.86875	2280.2027	2711.203125	2055.1845	2324.965725	2287.668025	2335.628	1785.451025	2033.33925	2240.516625	1349.557675	2117.55585	1847.2791	1698.129	2245.28925
FLOT2	639.3155	749.0805	757.087	962.95	787.0115	502.7523	598.6775	497.9185	902.89155	583.8289	955.59585	912.7105	656.2766	548.18845	630.48845	834.956	546.4235	780.938	854.7175	729.018	745.354
FLRT1	162.622	217.975	133.375	380.873	149.883	70.9629	93.5756	86.2067	121.878	122.38	61.6838	59.3728	129.706	230.621	82.07	211.398	190.991	18.0151	38.9654	152.521	113.647
FLRT3	67.8255	31.3227	55.9836	102.74	51.7251	48.1811	82.2346	6.36935	60.852	33.3809	23.7719	42.1422	91.2778	46.1941	46.6376	38.8891	65.657	56.2657	54.2105	54.661	69.1906
FLT1	211.624966666667	136.2344	408.480766666667	105.9464	160.810733333333	238.0894	187.347633333333	163.897136666667	259.770066666667	152.032233333333	191.674826666667	182.799466666667	158.540066666667	151.4501	127.3731	162.9176	187.3904	189.9833	181.5301	100.480733333333	206.932666666667
FLT3	115.129	62.6557	63.2816	121.958	142.41	49.0625	103.61	89.3961	67.7876	66.9912	106.225	190.317	124.904	15.2753	100.15	117.654	74.4949	70.4688	68.2689	92.5719	117.377
FLT3LG	17.38385	16.89085	30.58485	7.540415	95.54715	63.6324	52.0323	111.8555	83.18705	92.156	157.068	98.94075	77.63625	75.27895	62.838	52.61265	29.85885	45.8105	106.8786	66.17865	46.9261
FLT4	108.844	88.9179	89.5529	53.2473	34.0399	73.2352	58.032	38.0007	59.1543	60.6007	38.7475	36.9147	80.7314	54.8763	40.1829	29.5548	41.1921	17.708	61.1585	60.3122	25.2668
FLVCR2	303.057	311.131	274.881	214.18	646.27	339.807	492.54	679.667	238.191	555.434	443.555	554.498	380.448	422.573	525.776	480.377	229.724	233.06	408.744	388.065	268.01
